customer_id,recency,frequency,monetary,R_score,F_score,M_score,RFM_score,segment
YM000039,3,6,69398.85,4,2,2,422,Лояльные
YM000040,17,7,213027.37999999998,3,3,4,334,Чемпионы
YM000041,48,7,239968.85,2,3,4,234,Перспективные
YM000042,10,6,262320.25,4,2,4,424,Лояльные
YM000043,289,4,87783.93999999999,1,1,2,112,Спящие
YM000044,145,7,142538.31,1,3,3,133,Уходящие VIP
YM000045,49,6,222463.06,2,2,4,224,Перспективные
YM000046,59,5,92149.95999999999,2,2,2,222,Перспективные
YM000047,46,14,297697.28,2,4,4,244,Перспективные
YM000048,34,9,139409.93,3,4,3,343,Чемпионы
YM000049,55,5,95746.87,2,2,2,222,Перспективные
YM000051,37,8,346842.28,3,3,4,334,Чемпионы
YM000052,54,7,177703.94,2,3,3,233,Перспективные
YM000053,41,5,109847.85,2,2,2,222,Перспективные
YM000054,53,4,37729.7,2,1,1,211,Нуждаются во внимании
YM000055,144,5,38511.93,1,2,1,121,В зоне риска
YM000056,97,9,195226.94,1,4,4,144,Уходящие VIP
YM000057,26,7,169563.98,3,3,3,333,Чемпионы
YM000058,2,6,196547.68,4,2,4,424,Лояльные
YM000059,43,9,111701.98000000001,2,4,2,242,Перспективные
YM000060,22,5,58928.57,3,2,1,321,Лояльные
YM000061,38,5,86658.16,2,2,2,222,Перспективные
YM000062,53,11,250336.62,2,4,4,244,Перспективные
YM000063,71,9,172846.00999999998,2,4,3,243,Перспективные
YM000064,47,4,107908.61000000002,2,1,2,212,Нуждаются во внимании
YM000065,374,2,37427.42,1,1,1,111,Спящие
YM000066,5,9,146507.91,4,4,3,443,Чемпионы
YM000067,2,7,155579.21000000002,4,3,3,433,Чемпионы
YM000068,10,5,118069.51999999999,4,2,3,423,Лояльные
YM000069,69,6,15676.900000000001,2,2,1,221,Перспективные
YM000070,1,5,71921.44,4,2,2,422,Лояльные
YM000071,112,5,48473.04,1,2,1,121,В зоне риска
YM000072,183,5,134032.59,1,2,3,123,В зоне риска
YM000073,173,4,201380.4,1,1,4,114,Спящие
YM000074,37,7,301539.29,3,3,4,334,Чемпионы
YM000075,18,10,271472.92,3,4,4,344,Чемпионы
YM000076,82,7,117128.37,2,3,3,233,Перспективные
YM000077,219,6,178512.05,1,2,3,123,В зоне риска
YM000078,41,7,158143.36,2,3,3,233,Перспективные
YM000079,18,7,199268.31000000003,3,3,4,334,Чемпионы
YM000080,7,7,123684.43,4,3,3,433,Чемпионы
YM000081,101,10,290140.19,1,4,4,144,Уходящие VIP
YM000082,13,5,89281.38,4,2,2,422,Лояльные
YM000083,182,4,43237.229999999996,1,1,1,111,Спящие
YM000084,63,6,111199.13,2,2,2,222,Перспективные
YM000085,37,4,33539.28,3,1,1,311,Новички
YM000086,20,3,10816.18,3,1,1,311,Новички
YM000087,122,6,94525.51000000001,1,2,2,122,В зоне риска
YM000088,6,6,76485.15,4,2,2,422,Лояльные
YM000089,23,9,122386.40000000001,3,4,3,343,Чемпионы
YM000090,57,10,157135.79,2,4,3,243,Перспективные
YM000091,5,6,46145.53,4,2,1,421,Лояльные
YM000092,20,4,59969.74,3,1,1,311,Новички
YM000093,94,4,45842.22,1,1,1,111,Спящие
YM000094,20,3,359097.16,3,1,4,314,Новички
YM000095,8,4,215438.43,4,1,4,414,Новички
YM000096,102,4,13824.64,1,1,1,111,Спящие
YM000097,67,7,117736.29999999999,2,3,3,233,Перспективные
YM000098,132,3,57540.850000000006,1,1,1,111,Спящие
YM000099,3,9,167688.87,4,4,3,443,Чемпионы
YM000100,46,3,39860.08,2,1,1,211,Нуждаются во внимании
YM000101,1,7,133465.91,4,3,3,433,Чемпионы
YM000102,46,12,222989.32,2,4,4,244,Перспективные
YM000103,25,6,121713.77,3,2,3,323,Лояльные
YM000104,22,7,151896.22,3,3,3,333,Чемпионы
YM000105,62,4,69278.16,2,1,2,212,Нуждаются во внимании
YM000106,19,11,239258.84,3,4,4,344,Чемпионы
YM000107,245,3,70095.48000000001,1,1,2,112,Спящие
YM000108,89,1,3513.17,2,1,1,211,Нуждаются во внимании
YM000109,15,8,151261.42,3,3,3,333,Чемпионы
YM000110,29,6,32071.7,3,2,1,321,Лояльные
YM000111,187,7,161526.97999999998,1,3,3,133,Уходящие VIP
YM000112,54,6,141048.29,2,2,3,223,Перспективные
YM000113,53,3,108701.09,2,1,2,212,Нуждаются во внимании
YM000114,50,5,90604.71,2,2,2,222,Перспективные
YM000115,8,9,154260.88,4,4,3,443,Чемпионы
YM000116,55,4,64321.93,2,1,1,211,Нуждаются во внимании
YM000117,15,3,85054.98999999999,3,1,2,312,Новички
YM000118,75,8,228714.76,2,3,4,234,Перспективные
YM000119,16,4,83882.16999999998,3,1,2,312,Новички
YM000120,85,6,192752.01,2,2,4,224,Перспективные
YM000121,173,7,300661.64,1,3,4,134,Уходящие VIP
YM000122,4,5,173696.09,4,2,3,423,Лояльные
YM000123,115,8,85567.90000000001,1,3,2,132,Уходящие VIP
YM000124,9,9,86477.25,4,4,2,442,Лояльные
YM000125,171,3,88943.97,1,1,2,112,Спящие
YM000126,12,8,230239.15,4,3,4,434,Чемпионы
YM000127,32,10,122179.13,3,4,3,343,Чемпионы
YM000128,14,7,54410.26,4,3,1,431,Лояльные
YM000129,36,5,96360.58,3,2,2,322,Лояльные
YM000130,117,4,123756.8,1,1,3,113,Спящие
YM000131,12,7,128268.89,4,3,3,433,Чемпионы
YM000132,333,6,123425.51,1,2,3,123,В зоне риска
YM000133,3,8,189209.02000000002,4,3,3,433,Чемпионы
YM000134,47,2,14682.86,2,1,1,211,Нуждаются во внимании
YM000135,10,5,93447.29999999999,4,2,2,422,Лояльные
YM000136,55,5,14265.59,2,2,1,221,Перспективные
YM000137,38,8,131502.65,2,3,3,233,Перспективные
YM000138,13,7,121008.4,4,3,3,433,Чемпионы
YM000139,68,7,197059.61,2,3,4,234,Перспективные
YM000140,41,5,143400.08000000002,2,2,3,223,Перспективные
YM000141,91,6,122977.34,2,2,3,223,Перспективные
YM000142,4,8,84339.13,4,4,2,442,Лояльные
YM000143,53,3,40521.47,2,1,1,211,Нуждаются во внимании
YM000144,46,7,63472.5,2,3,1,231,Перспективные
YM000145,29,5,236930.72,3,2,4,324,Лояльные
YM000146,27,6,159106.25999999998,3,2,3,323,Лояльные
YM000147,1,5,178138.05,4,2,3,423,Лояльные
YM000148,49,5,143245.08000000002,2,2,3,223,Перспективные
YM000149,3,7,92011.57,4,3,2,432,Лояльные
YM000150,4,4,86633.44,4,1,2,412,Новички
YM000151,8,7,308561.69,4,3,4,434,Чемпионы
YM000152,37,4,51040.49,3,1,1,311,Новички
YM000153,28,6,58389.880000000005,3,2,1,321,Лояльные
YM000154,30,2,72384.28,3,1,2,312,Новички
YM000155,26,4,178939.75,3,1,3,313,Новички
YM000156,414,2,24243.55,1,1,1,111,Спящие
YM000157,20,6,186225.04,3,2,3,323,Лояльные
YM000158,25,9,445389.83,3,4,4,344,Чемпионы
YM000159,65,5,37374.54,2,2,1,221,Перспективные
YM000160,20,6,308590.4,3,2,4,324,Лояльные
YM000161,62,5,105858.15,2,2,2,222,Перспективные
YM000162,4,7,119390.73,4,3,3,433,Чемпионы
YM000163,18,8,169232.44,3,4,3,343,Чемпионы
YM000164,119,2,35108.35,1,1,1,111,Спящие
YM000165,134,6,187763.14,1,2,3,123,В зоне риска
YM000166,2,6,112227.16,4,2,2,422,Лояльные
YM000167,54,7,129024.11,2,3,3,233,Перспективные
YM000168,29,6,148306.43,3,2,3,323,Лояльные
YM000169,5,7,136346.44,4,3,3,433,Чемпионы
YM000170,17,10,248829.62,3,4,4,344,Чемпионы
YM000171,60,6,137529.72,2,2,3,223,Перспективные
YM000172,5,8,400170.31,4,4,4,444,Чемпионы
YM000173,31,10,274533.55,3,4,4,344,Чемпионы
YM000174,83,2,87534.26000000001,2,1,2,212,Нуждаются во внимании
YM000175,12,10,132005.32,4,4,3,443,Чемпионы
YM000176,88,3,94833.28,2,1,2,212,Нуждаются во внимании
YM000177,3,5,216603.06,4,2,4,424,Лояльные
YM000178,119,7,57653.78,1,3,1,131,Уходящие VIP
YM000179,57,7,49604.78,2,3,1,231,Перспективные
YM000180,7,7,64107.060000000005,4,3,1,431,Лояльные
YM000181,159,6,320120.33999999997,1,2,4,124,В зоне риска
YM000182,18,6,65562.71,3,2,1,321,Лояльные
YM000183,56,5,72073.81,2,2,2,222,Перспективные
YM000184,12,10,69801.94,4,4,2,442,Лояльные
YM000185,3,9,185824.21000000002,4,4,3,443,Чемпионы
YM000186,65,8,70821.17,2,4,2,242,Перспективные
YM000187,37,8,477183.2,3,4,4,344,Чемпионы
YM000188,3,4,137840.38,4,1,3,413,Новички
YM000189,14,2,110124.26999999999,4,1,2,412,Новички
YM000190,173,11,416823.98,1,4,4,144,Уходящие VIP
YM000191,27,5,104902.65,3,2,2,322,Лояльные
YM000192,159,4,43158.15,1,1,1,111,Спящие
YM000193,96,7,252842.14,1,3,4,134,Уходящие VIP
YM000194,165,4,218946.59,1,1,4,114,Спящие
YM000195,57,6,58859.15000000001,2,2,1,221,Перспективные
YM000196,14,7,324786.79,4,3,4,434,Чемпионы
YM000197,8,4,104727.13,4,1,2,412,Новички
YM000198,49,8,66872.74,2,4,1,241,Перспективные
YM000199,380,1,2583.66,1,1,1,111,Спящие
YM000200,1,6,50781.6,4,2,1,421,Лояльные
YM000201,144,3,20564.43,1,1,1,111,Спящие
YM000202,30,5,206596.01,3,2,4,324,Лояльные
YM000203,33,8,263907.74,3,4,4,344,Чемпионы
YM000204,25,6,55651.89,3,2,1,321,Лояльные
YM000205,55,4,39772.76,2,1,1,211,Нуждаются во внимании
YM000206,44,9,304713.68,2,4,4,244,Перспективные
YM000207,262,5,135068.7,1,2,3,123,В зоне риска
YM000208,6,11,148658.0,4,4,3,443,Чемпионы
YM000209,13,6,130766.09,4,2,3,423,Лояльные
YM000210,15,10,380484.16000000003,3,4,4,344,Чемпионы
YM000211,277,5,149885.26,1,2,3,123,В зоне риска
YM000212,48,9,210030.86,2,4,4,244,Перспективные
YM000213,39,2,11569.67,2,1,1,211,Нуждаются во внимании
YM000214,45,5,198728.68,2,2,4,224,Перспективные
YM000215,278,4,100734.98000000001,1,1,2,112,Спящие
YM000216,60,6,90842.0,2,2,2,222,Перспективные
YM000217,3,4,30332.67,4,1,1,411,Новички
YM000218,51,5,328836.75,2,2,4,224,Перспективные
YM000219,131,4,85675.26,1,1,2,112,Спящие
YM000220,189,1,7427.86,1,1,1,111,Спящие
YM000221,93,4,92306.40000000001,1,1,2,112,Спящие
YM000222,112,4,55854.229999999996,1,1,1,111,Спящие
YM000223,28,3,107460.37,3,1,2,312,Новички
YM000224,38,6,59444.07,2,2,1,221,Перспективные
YM000225,111,4,152568.9,1,1,3,113,Спящие
YM000226,268,3,41374.740000000005,1,1,1,111,Спящие
YM000227,29,9,241502.85,3,4,4,344,Чемпионы
YM000228,10,7,143654.49,4,3,3,433,Чемпионы
YM000229,93,4,151565.57,1,1,3,113,Спящие
YM000230,20,3,58934.090000000004,3,1,1,311,Новички
YM000231,3,6,87390.87,4,2,2,422,Лояльные
YM000232,69,7,76832.98,2,3,2,232,Перспективные
YM000233,12,5,41382.57,4,2,1,421,Лояльные
YM000234,56,8,379545.76,2,4,4,244,Перспективные
YM000235,28,6,75068.31999999999,3,2,2,322,Лояльные
YM000236,49,8,65770.3,2,4,1,241,Перспективные
YM000237,159,8,74840.87999999999,1,4,2,142,Уходящие VIP
YM000238,9,7,244262.46,4,3,4,434,Чемпионы
YM000239,397,5,153467.63,1,2,3,123,В зоне риска
YM000240,297,3,26624.68,1,1,1,111,Спящие
YM000241,50,8,305433.99,2,4,4,244,Перспективные
YM000242,49,9,121184.49,2,4,3,243,Перспективные
YM000243,129,6,215676.62,1,2,4,124,В зоне риска
YM000244,15,11,334458.07,3,4,4,344,Чемпионы
YM000245,28,9,394386.72000000003,3,4,4,344,Чемпионы
YM000246,131,9,186995.43,1,4,3,143,Уходящие VIP
YM000247,7,10,66202.22,4,4,1,441,Лояльные
YM000248,148,4,234793.58,1,1,4,114,Спящие
YM000249,1,5,179473.84,4,2,3,423,Лояльные
YM000250,10,7,254726.80000000002,4,3,4,434,Чемпионы
YM000251,20,10,153956.97,3,4,3,343,Чемпионы
YM000252,92,4,110149.04000000001,2,1,2,212,Нуждаются во внимании
YM000253,213,3,14116.92,1,1,1,111,Спящие
YM000254,4,4,190140.91,4,1,3,413,Новички
YM000255,290,4,140825.08,1,1,3,113,Спящие
YM000256,8,4,34174.78,4,1,1,411,Новички
YM000257,2,5,48771.409999999996,4,2,1,421,Лояльные
YM000258,26,5,144741.41,3,2,3,323,Лояльные
YM000259,18,4,145329.80000000002,3,1,3,313,Новички
YM000260,176,4,45207.69,1,1,1,111,Спящие
YM000261,31,6,109187.93000000001,3,2,2,322,Лояльные
YM000262,1,12,482548.77,4,4,4,444,Чемпионы
YM000263,41,4,85766.58,2,1,2,212,Нуждаются во внимании
YM000264,24,7,147160.0,3,3,3,333,Чемпионы
YM000265,35,3,143065.53999999998,3,1,3,313,Новички
YM000266,25,9,167482.19999999998,3,4,3,343,Чемпионы
YM000268,10,8,91427.11,4,4,2,442,Лояльные
YM000269,192,2,34775.100000000006,1,1,1,111,Спящие
YM000270,2,11,195818.2,4,4,4,444,Чемпионы
YM000271,41,6,72086.49,2,2,2,222,Перспективные
YM000272,158,6,142644.46000000002,1,2,3,123,В зоне риска
YM000273,94,4,244153.37,1,1,4,114,Спящие
YM000274,48,11,243389.33000000002,2,4,4,244,Перспективные
YM000275,235,3,35561.630000000005,1,1,1,111,Спящие
YM000276,20,7,78128.70999999999,3,3,2,332,Лояльные
YM000277,267,3,69443.49,1,1,2,112,Спящие
YM000278,13,11,266747.16,4,4,4,444,Чемпионы
YM000279,20,6,64436.5,3,2,1,321,Лояльные
YM000280,26,7,121987.69,3,3,3,333,Чемпионы
YM000281,3,6,97408.91,4,2,2,422,Лояльные
YM000282,113,5,54992.3,1,2,1,121,В зоне риска
YM000283,153,6,130433.66,1,2,3,123,В зоне риска
YM000284,154,9,297421.67,1,4,4,144,Уходящие VIP
YM000285,34,3,53708.43,3,1,1,311,Новички
YM000286,202,3,55721.47,1,1,1,111,Спящие
YM000287,28,9,106775.81,3,4,2,342,Лояльные
YM000288,167,4,60088.19,1,1,1,111,Спящие
YM000289,25,4,37851.18,3,1,1,311,Новички
YM000290,3,8,196836.45,4,4,4,444,Чемпионы
YM000291,324,4,45991.240000000005,1,1,1,111,Спящие
YM000292,270,1,4287.86,1,1,1,111,Спящие
YM000293,1,6,62172.92,4,2,1,421,Лояльные
YM000294,18,9,75634.7,3,4,2,342,Лояльные
YM000295,181,4,12757.05,1,1,1,111,Спящие
YM000296,30,5,214034.64,3,2,4,324,Лояльные
YM000297,1,6,129739.05,4,2,3,423,Лояльные
YM000298,1,6,77298.54,4,2,2,422,Лояльные
YM000299,89,6,20236.95,2,2,1,221,Перспективные
YM000300,36,7,215860.67,3,3,4,334,Чемпионы
YM000301,5,3,81021.19,4,1,2,412,Новички
YM000302,8,6,125836.28,4,2,3,423,Лояльные
YM000303,24,6,63880.4,3,2,1,321,Лояльные
YM000304,11,5,189962.32,4,2,3,423,Лояльные
YM000305,204,3,37344.53,1,1,1,111,Спящие
YM000306,6,13,152697.01,4,4,3,443,Чемпионы
YM000307,50,6,152921.55,2,2,3,223,Перспективные
YM000308,92,2,26463.760000000002,2,1,1,211,Нуждаются во внимании
YM000309,4,5,94070.26,4,2,2,422,Лояльные
YM000310,30,8,123269.26000000001,3,4,3,343,Чемпионы
YM000311,44,8,128834.14,2,4,3,243,Перспективные
YM000312,7,8,102608.63,4,4,2,442,Лояльные
YM000313,105,5,63568.94,1,2,1,121,В зоне риска
YM000314,3,11,519268.57,4,4,4,444,Чемпионы
YM000315,107,3,36597.729999999996,1,1,1,111,Спящие
YM000316,21,4,47093.92,3,1,1,311,Новички
YM000317,25,5,186437.68,3,2,3,323,Лояльные
YM000318,13,6,102413.83,4,2,2,422,Лояльные
YM000319,10,9,100318.89,4,4,2,442,Лояльные
YM000320,35,12,155050.84,3,4,3,343,Чемпионы
YM000321,110,6,71971.94,1,2,2,122,В зоне риска
YM000322,83,3,19586.35,2,1,1,211,Нуждаются во внимании
YM000323,46,5,94338.3,2,2,2,222,Перспективные
YM000324,26,4,135695.84,3,1,3,313,Новички
YM000325,3,7,147398.99,4,3,3,433,Чемпионы
YM000326,27,8,137014.81,3,4,3,343,Чемпионы
YM000327,157,5,78300.61,1,2,2,122,В зоне риска
YM000328,80,6,80738.5,2,2,2,222,Перспективные
YM000329,279,7,510990.5,1,3,4,134,Уходящие VIP
YM000330,5,4,36681.18,4,1,1,411,Новички
YM000331,4,6,107741.3,4,2,2,422,Лояльные
YM000332,36,8,334111.29,3,4,4,344,Чемпионы
YM000333,119,7,307388.26,1,3,4,134,Уходящие VIP
YM000334,75,1,2665.5,2,1,1,211,Нуждаются во внимании
YM000335,333,4,119215.18000000001,1,1,3,113,Спящие
YM000336,185,5,14500.19,1,2,1,121,В зоне риска
YM000337,176,5,291627.35,1,2,4,124,В зоне риска
YM000338,112,6,154617.34,1,2,3,123,В зоне риска
YM000339,92,6,102048.53,2,2,2,222,Перспективные
YM000340,65,3,113422.12,2,1,2,212,Нуждаются во внимании
YM000341,130,7,201397.25,1,3,4,134,Уходящие VIP
YM000342,120,7,178877.57,1,3,3,133,Уходящие VIP
YM000343,41,4,58649.07,2,1,1,211,Нуждаются во внимании
YM000344,17,10,138175.51,3,4,3,343,Чемпионы
YM000345,12,8,90308.68000000001,4,4,2,442,Лояльные
YM000346,61,6,74694.97,2,2,2,222,Перспективные
YM000347,45,5,25053.27,2,2,1,221,Перспективные
YM000348,74,4,24957.07,2,1,1,211,Нуждаются во внимании
YM000349,83,3,7300.4,2,1,1,211,Нуждаются во внимании
YM000350,73,6,68955.98000000001,2,2,2,222,Перспективные
YM000351,16,8,385974.62,3,4,4,344,Чемпионы
YM000352,68,6,177394.97999999998,2,2,3,223,Перспективные
YM000353,2,8,147938.4,4,4,3,443,Чемпионы
YM000354,60,7,86014.47,2,3,2,232,Перспективные
YM000355,40,6,158502.61000000002,2,2,3,223,Перспективные
YM000356,1,2,48637.17,4,1,1,411,Новички
YM000357,34,6,212372.71,3,2,4,324,Лояльные
YM000358,18,1,15055.72,3,1,1,311,Новички
YM000359,4,10,78034.0,4,4,2,442,Лояльные
YM000360,26,3,42842.2,3,1,1,311,Новички
YM000361,22,8,165678.56,3,4,3,343,Чемпионы
YM000362,24,3,18011.579999999998,3,1,1,311,Новички
YM000363,1,3,35251.17,4,1,1,411,Новички
YM000364,24,7,157959.95,3,3,3,333,Чемпионы
YM000365,101,6,103410.15,1,2,2,122,В зоне риска
YM000366,40,9,141500.96,2,4,3,243,Перспективные
YM000367,24,8,193212.62,3,4,4,344,Чемпионы
YM000368,453,2,21864.690000000002,1,1,1,111,Спящие
YM000369,61,7,24157.37,2,3,1,231,Перспективные
YM000370,82,10,356185.0,2,4,4,244,Перспективные
YM000371,1,5,96677.89,4,2,2,422,Лояльные
YM000372,41,4,86321.02,2,1,2,212,Нуждаются во внимании
YM000373,1,8,165340.4,4,4,3,443,Чемпионы
YM000374,195,6,311068.16,1,2,4,124,В зоне риска
YM000375,6,8,211655.50999999998,4,4,4,444,Чемпионы
YM000376,7,7,79138.54000000001,4,3,2,432,Лояльные
YM000377,157,4,258747.12,1,1,4,114,Спящие
YM000378,31,5,107978.54999999999,3,2,2,322,Лояльные
YM000379,69,13,410385.21,2,4,4,244,Перспективные
YM000380,16,7,143630.01,3,3,3,333,Чемпионы
YM000381,292,4,18683.14,1,1,1,111,Спящие
YM000382,65,11,170059.09,2,4,3,243,Перспективные
YM000383,9,8,259336.63,4,4,4,444,Чемпионы
YM000384,18,3,20045.39,3,1,1,311,Новички
YM000385,27,7,150373.36000000002,3,3,3,333,Чемпионы
YM000386,29,9,190616.59999999998,3,4,3,343,Чемпионы
YM000387,27,7,77866.75,3,3,2,332,Лояльные
YM000388,213,8,136099.02,1,4,3,143,Уходящие VIP
YM000389,73,5,78102.61,2,2,2,222,Перспективные
YM000390,31,10,297677.54000000004,3,4,4,344,Чемпионы
YM000391,5,7,128513.81,4,3,3,433,Чемпионы
YM000392,37,5,43535.899999999994,3,2,1,321,Лояльные
YM000393,8,4,59802.77,4,1,1,411,Новички
YM000394,32,8,201816.11,3,4,4,344,Чемпионы
YM000395,56,3,43574.47,2,1,1,211,Нуждаются во внимании
YM000396,92,4,152943.29,2,1,3,213,Нуждаются во внимании
YM000397,147,6,42743.03,1,2,1,121,В зоне риска
YM000398,2,6,87333.2,4,2,2,422,Лояльные
YM000399,109,3,29910.01,1,1,1,111,Спящие
YM000400,45,4,114875.25,2,1,2,212,Нуждаются во внимании
YM000401,196,2,58124.92,1,1,1,111,Спящие
YM000402,2,5,35058.270000000004,4,2,1,421,Лояльные
YM000403,61,8,43107.57,2,4,1,241,Перспективные
YM000404,12,8,237546.53,4,4,4,444,Чемпионы
YM000405,23,7,130866.87,3,3,3,333,Чемпионы
YM000406,75,8,217613.96,2,4,4,244,Перспективные
YM000407,54,7,165976.61,2,3,3,233,Перспективные
YM000408,16,3,135197.77,3,1,3,313,Новички
YM000409,38,5,102188.49,2,2,2,222,Перспективные
YM000410,269,3,85092.75,1,1,2,112,Спящие
YM000411,70,7,151492.16,2,3,3,233,Перспективные
YM000412,26,5,122081.91,3,2,3,323,Лояльные
YM000413,241,5,130712.7,1,2,3,123,В зоне риска
YM000414,6,8,131044.94,4,4,3,443,Чемпионы
YM000415,14,10,528648.23,4,4,4,444,Чемпионы
YM000416,19,2,54601.65,3,1,1,311,Новички
YM000417,198,3,23750.86,1,1,1,111,Спящие
YM000418,27,4,400315.44000000006,3,1,4,314,Новички
YM000419,164,4,62101.25,1,1,1,111,Спящие
YM000420,17,8,304930.74,3,4,4,344,Чемпионы
YM000421,133,3,54342.0,1,1,1,111,Спящие
YM000422,104,5,282387.51,1,2,4,124,В зоне риска
YM000423,97,4,23520.99,1,1,1,111,Спящие
YM000424,44,6,91185.5,2,2,2,222,Перспективные
YM000425,31,8,214953.72,3,4,4,344,Чемпионы
YM000426,200,2,15895.939999999999,1,1,1,111,Спящие
YM000427,316,4,19051.37,1,1,1,111,Спящие
YM000428,75,4,46268.840000000004,2,1,1,211,Нуждаются во внимании
YM000429,79,9,159047.01,2,4,3,243,Перспективные
YM000430,6,7,290609.46,4,3,4,434,Чемпионы
YM000431,40,5,92138.46,2,2,2,222,Перспективные
YM000432,176,7,107740.9,1,3,2,132,Уходящие VIP
YM000433,27,5,106359.47,3,2,2,322,Лояльные
YM000434,122,2,30507.07,1,1,1,111,Спящие
YM000435,6,9,187364.81,4,4,3,443,Чемпионы
YM000436,12,6,82653.82,4,2,2,422,Лояльные
YM000437,17,5,233663.02999999997,3,2,4,324,Лояльные
YM000438,40,5,83710.39000000001,2,2,2,222,Перспективные
YM000439,61,5,80509.66,2,2,2,222,Перспективные
YM000440,13,5,127778.90000000001,4,2,3,423,Лояльные
YM000441,334,7,214930.34,1,3,4,134,Уходящие VIP
YM000442,34,8,69450.98,3,4,2,342,Лояльные
YM000443,3,6,74265.94,4,2,2,422,Лояльные
YM000444,38,4,44328.619999999995,2,1,1,211,Нуждаются во внимании
YM000445,65,2,16767.4,2,1,1,211,Нуждаются во внимании
YM000446,3,8,260715.33000000002,4,4,4,444,Чемпионы
YM000447,322,3,25172.84,1,1,1,111,Спящие
YM000448,2,2,56289.020000000004,4,1,1,411,Новички
YM000449,24,4,139856.33,3,1,3,313,Новички
YM000450,30,9,81130.22,3,4,2,342,Лояльные
YM000451,4,7,117950.14,4,3,3,433,Чемпионы
YM000452,81,6,204073.74,2,2,4,224,Перспективные
YM000453,45,6,124875.91,2,2,3,223,Перспективные
YM000454,64,7,111032.45000000001,2,3,2,232,Перспективные
YM000455,96,4,225252.64,1,1,4,114,Спящие
YM000456,2,11,110064.32,4,4,2,442,Лояльные
YM000457,133,6,104186.17,1,2,2,122,В зоне риска
YM000458,32,4,26627.92,3,1,1,311,Новички
YM000459,2,8,80659.14,4,4,2,442,Лояльные
YM000460,44,7,51507.28,2,3,1,231,Перспективные
YM000461,2,9,267480.77,4,4,4,444,Чемпионы
YM000462,220,4,35862.74,1,1,1,111,Спящие
YM000463,15,3,118534.22,3,1,3,313,Новички
YM000464,30,9,131471.3,3,4,3,343,Чемпионы
YM000465,10,4,81945.76000000001,4,1,2,412,Новички
YM000466,66,4,157363.37,2,1,3,213,Нуждаются во внимании
YM000467,182,1,10524.57,1,1,1,111,Спящие
YM000468,24,6,334359.05000000005,3,2,4,324,Лояльные
YM000469,2,8,195266.35,4,4,4,444,Чемпионы
YM000470,104,7,229296.47000000003,1,3,4,134,Уходящие VIP
YM000471,95,10,137030.11,1,4,3,143,Уходящие VIP
YM000472,15,3,26127.4,3,1,1,311,Новички
YM000473,20,6,82971.89,3,2,2,322,Лояльные
YM000474,11,12,213887.53,4,4,4,444,Чемпионы
YM000475,29,8,169978.0,3,4,3,343,Чемпионы
YM000476,66,7,98082.08,2,3,2,232,Перспективные
YM000477,233,4,105053.98,1,1,2,112,Спящие
YM000478,135,8,121238.13,1,4,3,143,Уходящие VIP
YM000479,174,6,51545.42,1,2,1,121,В зоне риска
YM000480,44,8,128852.81999999999,2,4,3,243,Перспективные
YM000481,17,6,80838.75,3,2,2,322,Лояльные
YM000482,5,8,59848.21,4,4,1,441,Лояльные
