customer_id,city,registration_date,age_group,gender,yandex_plus
YM000209,Казань,2023-01-26,35-44,Ж,True
YM000210,Екатеринбург,2023-02-02,25-34,Ж,False
YM000211,Екатеринбург,2023-01-10,18-24,Ж,False
YM000212,Пермь,2023-07-25,18-24,М,False
YM000213,Другие,2023-05-06,18-24,Ж,True
YM000214,Санкт-Петербург,2023-04-01,18-24,Ж,False
YM000215,Краснодар,2023-03-22,18-24,Ж,False
YM000216,Другие,2023-08-02,35-44,Ж,False
YM000217,Челябинск,2023-01-08,25-34,Ж,True
YM000218,Другие,2023-02-14,25-34,М,False
YM000219,Другие,2023-02-09,55+,М,False
YM000220,Новосибирск,2023-07-27,25-34,Ж,False
YM000221,Москва,2023-01-02,25-34,Ж,False
YM000222,Пермь,2023-04-12,25-34,Ж,False
YM000223,Уфа,2024-06-02,25-34,М,False
YM000224,Санкт-Петербург,2024-02-01,45-54,М,False
YM000225,Москва,2023-04-22,35-44,М,True
YM000226,Другие,2023-05-05,35-44,М,True
YM000227,Санкт-Петербург,2024-02-23,25-34,М,True
YM000228,Москва,2023-08-02,25-34,Ж,True
YM000229,Москва,2023-01-05,25-34,Ж,True
YM000230,Москва,2024-02-01,55+,Ж,True
YM000231,Воронеж,2023-02-15,25-34,М,True
YM000232,Другие,2023-03-13,35-44,Ж,True
YM000233,Москва,2023-05-09,35-44,Ж,True
YM000234,Санкт-Петербург,2023-01-25,18-24,Ж,False
YM000235,Другие,2023-09-05,25-34,Ж,True
YM000236,Новосибирск,2024-04-03,35-44,Ж,True
YM000237,Воронеж,2023-06-01,25-34,М,False
YM000238,Екатеринбург,2024-06-24,45-54,Ж,True
YM000239,Санкт-Петербург,2023-02-12,35-44,М,False
YM000240,Ростов-на-Дону,2023-06-07,25-34,Ж,True
YM000241,Краснодар,2023-12-14,18-24,Ж,False
YM000242,Новосибирск,2023-03-11,18-24,М,False
YM000243,Санкт-Петербург,2023-05-24,25-34,М,True
YM000244,Новосибирск,2023-02-02,18-24,М,True
YM000245,Краснодар,2023-07-25,35-44,М,True
YM000246,Казань,2023-05-24,45-54,Ж,False
YM000247,Другие,2023-07-19,25-34,Ж,True
YM000248,Пермь,2023-01-16,25-34,М,False
YM000249,Другие,2024-12-31,55+,М,True
YM000250,Москва,2023-05-21,45-54,Ж,True
YM000251,Москва,2023-01-08,35-44,М,True
YM000252,Москва,2023-10-17,35-44,М,False
YM000253,Другие,2023-06-12,55+,Ж,True
YM000254,Санкт-Петербург,2023-01-01,25-34,М,False
YM000255,Екатеринбург,2023-07-24,35-44,М,False
YM000256,Екатеринбург,2024-06-14,18-24,Ж,True
YM000257,Москва,2023-07-19,18-24,Ж,False
YM000258,Самара,2024-01-27,55+,Ж,False
YM000259,Санкт-Петербург,2023-07-08,18-24,Ж,False
YM000260,Самара,2023-04-05,35-44,М,False
YM000261,Москва,2023-06-03,35-44,М,True
YM000262,Другие,2024-12-31,25-34,Ж,False
YM000263,Москва,2023-02-07,45-54,Ж,False
YM000264,Санкт-Петербург,2024-03-21,35-44,Ж,True
YM000265,Санкт-Петербург,2023-01-09,45-54,М,True
YM000266,Москва,2023-11-19,18-24,Ж,False
YM000267,Ростов-на-Дону,2023-11-01,25-34,М,True
YM000268,Новосибирск,2023-01-28,18-24,Ж,True
YM000269,Другие,2023-09-08,45-54,Ж,False
YM000270,Санкт-Петербург,2023-04-03,18-24,Ж,False
YM000271,Санкт-Петербург,2023-08-14,25-34,М,False
YM000272,Санкт-Петербург,2023-04-06,35-44,Ж,True
YM000273,Самара,2024-03-15,45-54,Ж,True
YM000274,Москва,2023-10-17,45-54,М,True
YM000275,Москва,2023-01-22,25-34,Ж,True
YM000276,Санкт-Петербург,2023-04-02,35-44,Ж,False
YM000277,Санкт-Петербург,2023-01-18,35-44,М,False
YM000278,Москва,2023-01-29,45-54,М,False
YM000279,Москва,2024-04-18,18-24,М,False
YM000280,Ростов-на-Дону,2023-07-29,45-54,М,False
YM000281,Москва,2023-10-19,25-34,М,False
YM000282,Санкт-Петербург,2023-03-07,55+,М,True
YM000283,Москва,2023-03-20,25-34,М,True
YM000284,Москва,2023-01-09,18-24,Ж,True
YM000285,Краснодар,2023-02-04,35-44,Ж,False
YM000286,Москва,2023-03-10,45-54,М,False
YM000287,Красноярск,2024-01-25,25-34,М,True
YM000288,Москва,2023-05-07,25-34,М,True
YM000289,Самара,2023-06-10,25-34,Ж,False
YM000290,Ростов-на-Дону,2023-01-06,35-44,М,False
YM000291,Казань,2023-01-12,25-34,Ж,False
YM000292,Санкт-Петербург,2023-01-17,18-24,М,False
YM000293,Новосибирск,2024-12-31,45-54,М,True
YM000294,Москва,2023-08-06,35-44,Ж,False
YM000295,Краснодар,2023-11-10,55+,Ж,False
YM000296,Другие,2023-12-18,25-34,М,True
YM000297,Москва,2024-12-31,18-24,Ж,True
YM000298,Пермь,2024-12-31,25-34,М,True
YM000299,Другие,2023-06-24,25-34,М,True
YM000300,Челябинск,2023-12-06,18-24,Ж,False
YM000301,Москва,2023-04-28,35-44,Ж,False
YM000302,Москва,2024-08-24,55+,Ж,False
YM000303,Москва,2023-08-04,18-24,Ж,False
YM000304,Екатеринбург,2023-02-12,18-24,Ж,False
YM000305,Другие,2023-12-06,45-54,М,False
YM000306,Новосибирск,2024-03-17,18-24,Ж,False
YM000307,Москва,2023-02-25,25-34,М,False
YM000308,Челябинск,2023-02-20,25-34,М,True
YM000309,Екатеринбург,2023-01-11,35-44,М,True
YM000310,Москва,2023-07-01,25-34,М,True
YM000311,Краснодар,2023-07-08,35-44,Ж,False
YM000312,Нижний Новгород,2023-10-03,55+,М,True
YM000313,Екатеринбург,2023-03-19,25-34,М,True
YM000314,Санкт-Петербург,2023-02-18,45-54,Ж,False
YM000315,Санкт-Петербург,2023-05-10,55+,М,False
YM000316,Москва,2023-02-08,25-34,М,False
YM000317,Екатеринбург,2023-07-21,18-24,Ж,True
YM000318,Тюмень,2023-08-19,45-54,Ж,True
YM000319,Москва,2023-04-05,18-24,Ж,True
YM000320,Уфа,2023-01-17,25-34,М,True
YM000321,Москва,2023-02-23,35-44,М,True
YM000322,Екатеринбург,2024-05-07,18-24,Ж,True
YM000323,Москва,2023-04-29,18-24,Ж,True
YM000324,Другие,2023-03-18,35-44,М,True
YM000325,Уфа,2023-04-07,45-54,М,True
YM000326,Другие,2023-08-16,45-54,Ж,False
YM000327,Москва,2023-02-21,25-34,М,False
YM000328,Москва,2023-06-23,25-34,Ж,False
YM000329,Санкт-Петербург,2023-04-06,25-34,Ж,True
YM000330,Красноярск,2024-12-12,45-54,Ж,False
YM000331,Другие,2023-03-27,25-34,М,False
YM000332,Москва,2024-01-02,25-34,М,False
YM000333,Ростов-на-Дону,2023-07-09,35-44,Ж,False
YM000334,Москва,2023-09-09,25-34,Ж,False
YM000335,Москва,2023-06-09,35-44,Ж,False
YM000336,Москва,2023-10-22,18-24,М,True
YM000337,Новосибирск,2023-01-12,35-44,Ж,True
YM000338,Москва,2023-09-06,25-34,Ж,True
YM000339,Екатеринбург,2023-06-10,18-24,М,False
YM000340,Краснодар,2023-03-23,45-54,Ж,True
YM000341,Другие,2023-05-12,25-34,Ж,False
YM000342,Москва,2023-01-27,18-24,Ж,False
YM000343,Краснодар,2023-05-09,55+,М,True
YM000344,Москва,2023-05-01,18-24,Ж,False
YM000345,Москва,2023-04-01,45-54,М,False
YM000346,Казань,2024-04-17,45-54,М,False
YM000347,Москва,2023-07-29,25-34,М,True
YM000348,Москва,2023-02-01,35-44,Ж,False
YM000349,Москва,2024-06-12,25-34,Ж,False
YM000350,Екатеринбург,2023-04-11,25-34,М,False
YM000351,Москва,2023-11-07,35-44,М,False
YM000352,Челябинск,2023-08-09,18-24,Ж,True
YM000353,Москва,2024-03-04,25-34,М,False
YM000354,Воронеж,2023-06-18,25-34,Ж,False
YM000355,Москва,2023-03-30,25-34,М,False
YM000356,Екатеринбург,2024-12-31,55+,М,False
YM000357,Краснодар,2023-01-16,25-34,Ж,True
YM000358,Другие,2023-01-23,25-34,М,True
YM000359,Санкт-Петербург,2023-11-19,25-34,Ж,True
YM000360,Москва,2023-08-12,35-44,Ж,True
YM000361,Краснодар,2023-01-08,25-34,Ж,False
YM000362,Другие,2023-10-19,18-24,Ж,True
YM000363,Другие,2024-12-31,35-44,Ж,False
YM000364,Москва,2023-06-14,25-34,М,True
YM000365,Екатеринбург,2023-06-13,55+,М,False
YM000366,Санкт-Петербург,2023-03-29,35-44,М,False
YM000367,Другие,2023-05-16,18-24,М,True
YM000368,Москва,2023-01-29,55+,Ж,True
YM000369,Другие,2023-05-27,25-34,М,False
YM000370,Санкт-Петербург,2023-06-06,45-54,Ж,False
YM000371,Екатеринбург,2024-12-31,18-24,М,True
YM000372,Екатеринбург,2023-08-31,45-54,Ж,True
YM000373,Москва,2024-12-31,25-34,М,False
YM000374,Санкт-Петербург,2023-05-21,35-44,Ж,True
YM000375,Воронеж,2024-07-29,35-44,Ж,True
YM000376,Пермь,2024-01-01,55+,Ж,False
YM000377,Москва,2023-08-01,45-54,Ж,True
YM000378,Казань,2023-03-02,25-34,Ж,True
YM000379,Воронеж,2023-01-12,25-34,Ж,False
YM000380,Екатеринбург,2024-03-10,25-34,М,True
YM000381,Москва,2023-04-26,25-34,Ж,True
YM000382,Ростов-на-Дону,2023-07-23,45-54,М,False
YM000383,Санкт-Петербург,2023-09-27,35-44,М,True
YM000384,Новосибирск,2024-09-11,25-34,Ж,True
YM000385,Краснодар,2023-08-06,35-44,М,False
YM000386,Казань,2024-01-02,18-24,М,False
YM000387,Ростов-на-Дону,2023-03-23,35-44,М,False
YM000388,Другие,2023-02-18,25-34,Ж,True
YM000389,Санкт-Петербург,2023-01-25,25-34,М,True
YM000390,Москва,2023-01-14,35-44,Ж,False
YM000391,Москва,2023-09-07,45-54,М,True
YM000392,Нижний Новгород,2024-01-29,45-54,Ж,True
YM000393,Екатеринбург,2023-05-13,25-34,М,False
YM000394,Другие,2023-04-28,18-24,Ж,False
YM000395,Екатеринбург,2023-03-31,18-24,Ж,True
YM000396,Москва,2024-01-04,45-54,М,True
YM000397,Москва,2023-03-04,45-54,М,False
YM000398,Другие,2023-02-23,18-24,М,False
YM000399,Новосибирск,2023-05-06,25-34,Ж,False
YM000400,Ростов-на-Дону,2023-01-11,25-34,М,False
YM000401,Краснодар,2023-03-10,25-34,Ж,False
YM000402,Санкт-Петербург,2023-10-04,35-44,Ж,True
YM000403,Воронеж,2023-07-25,18-24,Ж,False
YM000404,Санкт-Петербург,2024-04-22,35-44,М,True
YM000405,Уфа,2023-01-09,35-44,М,False
YM000406,Новосибирск,2023-11-16,25-34,Ж,False
YM000407,Москва,2023-02-18,25-34,Ж,False
YM000408,Новосибирск,2024-10-22,45-54,М,True
YM000409,Москва,2023-03-13,25-34,Ж,True
YM000410,Другие,2023-07-02,25-34,Ж,False
YM000411,Новосибирск,2023-01-14,25-34,М,False
YM000412,Москва,2023-05-25,35-44,М,False
YM000413,Санкт-Петербург,2023-06-11,35-44,Ж,True
YM000414,Санкт-Петербург,2023-01-24,45-54,М,False
YM000415,Краснодар,2023-01-12,18-24,Ж,True
YM000416,Другие,2023-05-31,25-34,Ж,True
YM000417,Санкт-Петербург,2023-01-07,35-44,М,False
YM000418,Самара,2023-02-07,45-54,М,False
YM000419,Тюмень,2023-02-21,55+,Ж,True
YM000420,Другие,2023-02-18,18-24,М,True
YM000421,Москва,2023-08-24,25-34,М,False
YM000422,Екатеринбург,2023-12-05,45-54,М,True
YM000423,Москва,2023-08-15,35-44,М,False
YM000424,Москва,2023-05-19,25-34,Ж,True
YM000425,Пермь,2024-03-15,55+,М,False
YM000426,Красноярск,2023-09-17,18-24,М,False
YM000427,Ростов-на-Дону,2023-01-03,25-34,Ж,False
YM000428,Казань,2023-01-14,35-44,Ж,False
YM000429,Другие,2023-01-06,35-44,М,False
YM000430,Санкт-Петербург,2023-05-29,18-24,М,True
YM000431,Санкт-Петербург,2023-06-17,45-54,Ж,True
YM000432,Красноярск,2023-04-06,25-34,Ж,False
YM000433,Санкт-Петербург,2023-04-02,45-54,Ж,True
YM000434,Другие,2024-04-15,18-24,Ж,False
YM000435,Москва,2023-03-11,55+,Ж,True
YM000436,Казань,2023-08-14,25-34,Ж,True
YM000437,Пермь,2023-03-12,35-44,Ж,True
YM000438,Екатеринбург,2023-09-09,35-44,Ж,False
YM000439,Санкт-Петербург,2023-08-16,18-24,М,False
YM000440,Санкт-Петербург,2023-05-14,25-34,Ж,True
YM000441,Санкт-Петербург,2023-01-18,45-54,Ж,True
YM000442,Москва,2023-07-28,35-44,М,True
YM000443,Москва,2024-07-21,25-34,М,True
YM000444,Нижний Новгород,2024-07-25,25-34,Ж,False
YM000445,Ростов-на-Дону,2023-09-01,35-44,Ж,False
YM000446,Новосибирск,2024-03-21,18-24,Ж,False
YM000447,Казань,2023-03-09,55+,Ж,True
YM000448,Другие,2024-12-24,35-44,Ж,False
YM000449,Санкт-Петербург,2024-02-06,25-34,Ж,False
YM000450,Новосибирск,2023-09-23,45-54,Ж,False
YM000451,Новосибирск,2023-01-12,25-34,Ж,False
YM000452,Самара,2023-05-22,18-24,Ж,False
YM000453,Воронеж,2023-02-25,55+,Ж,False
YM000454,Новосибирск,2023-04-23,35-44,Ж,False
YM000455,Воронеж,2023-04-04,45-54,Ж,False
YM000456,Тюмень,2023-06-07,25-34,Ж,True
YM000457,Казань,2023-04-09,55+,Ж,False
YM000458,Москва,2024-09-15,18-24,М,False
YM000459,Краснодар,2023-09-01,25-34,Ж,True
YM000460,Новосибирск,2023-07-13,25-34,М,True
YM000461,Другие,2024-07-12,25-34,Ж,False
YM000462,Нижний Новгород,2023-02-03,35-44,М,False
YM000463,Уфа,2024-09-21,35-44,М,False
YM000464,Казань,2023-10-12,35-44,М,True
YM000465,Москва,2023-04-19,45-54,Ж,False
YM000466,Нижний Новгород,2023-04-10,18-24,Ж,False
YM000467,Екатеринбург,2023-09-02,35-44,Ж,False
YM000468,Санкт-Петербург,2023-06-05,55+,Ж,False
YM000469,Москва,2024-09-11,25-34,М,False
YM000470,Воронеж,2023-06-20,18-24,Ж,False
YM000471,Другие,2023-09-26,45-54,М,True
YM000472,Другие,2023-05-06,25-34,М,False
YM000473,Краснодар,2024-03-31,25-34,Ж,False
YM000474,Новосибирск,2024-01-27,35-44,М,True
YM000475,Казань,2023-12-17,25-34,Ж,True
YM000476,Другие,2023-07-06,18-24,М,True
YM000477,Санкт-Петербург,2023-01-10,45-54,Ж,True
YM000478,Челябинск,2023-03-20,25-34,Ж,True
YM000479,Екатеринбург,2023-03-18,35-44,М,True
YM000480,Новосибирск,2023-03-25,25-34,Ж,False
YM000481,Санкт-Петербург,2024-01-16,45-54,Ж,False
YM000482,Казань,2023-05-21,55+,М,False
YM000483,Другие,2023-09-23,35-44,М,True
YM000484,Новосибирск,2024-10-07,25-34,М,True
YM000485,Москва,2023-08-25,25-34,М,True
YM000486,Москва,2024-06-06,55+,Ж,True
YM000487,Казань,2023-10-24,18-24,М,False
YM000488,Москва,2024-03-10,25-34,Ж,False
YM000489,Санкт-Петербург,2023-05-14,45-54,М,False
YM000490,Другие,2024-03-21,45-54,М,True
YM000491,Новосибирск,2023-05-30,25-34,М,True
YM000492,Краснодар,2023-01-19,25-34,Ж,True
YM000493,Москва,2023-06-28,25-34,М,True
YM000494,Уфа,2024-12-31,25-34,Ж,False
YM000495,Санкт-Петербург,2023-08-01,25-34,М,False
YM000496,Другие,2023-03-11,18-24,Ж,False
YM000497,Москва,2023-10-30,45-54,М,False
YM000498,Уфа,2023-04-09,35-44,М,True
YM000499,Пермь,2023-12-03,25-34,Ж,False
YM000500,Красноярск,2023-02-18,25-34,Ж,False
YM000501,Санкт-Петербург,2023-05-22,45-54,Ж,False
YM000502,Санкт-Петербург,2023-06-26,25-34,Ж,True
YM000503,Нижний Новгород,2023-01-12,25-34,Ж,False
YM000504,Москва,2023-09-22,45-54,М,True
YM000505,Другие,2023-09-26,25-34,Ж,False
YM000506,Краснодар,2023-11-17,55+,Ж,False
YM000507,Ростов-на-Дону,2024-12-31,25-34,М,False
YM000508,Уфа,2023-03-20,25-34,Ж,False
YM000509,Другие,2023-01-10,18-24,Ж,False
YM000510,Красноярск,2023-02-07,45-54,М,False
YM000511,Санкт-Петербург,2024-11-07,25-34,Ж,False
YM000512,Самара,2023-02-20,35-44,М,True
YM000513,Москва,2023-08-11,55+,Ж,False
YM000514,Санкт-Петербург,2023-08-12,45-54,Ж,False
